微信支付账单明细
统计时间,2026-01-01 至 2026-02-01

交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,交易状态,交易单号,平台分类
2026-01-01 00:00:00,商户消费,早餐店,早餐,支出,12.00,零钱,支付成功,STAGE3-001,餐饮/早餐
2026-01-05 12:00:00,商户消费,房东,一月房租,支出,50.00,银行卡,支付成功,STAGE3-002,住房/房租
2026-01-10 12:00:00,工资,公司,工资,收入,100.00,银行卡,支付成功,STAGE3-003,收入/工资
2026-01-12 12:00:00,商户消费,失败商户,支付失败,支出,9.99,零钱,支付失败,STAGE3-004,其他
2026-01-15 12:00:00,转账,银行卡,转账,收入,30.00,零钱,交易成功,STAGE3-005,资金往来
2026-01-20 12:00:00,商户消费,退款店,退款原消费,支出,5.00,零钱,已退款,STAGE3-006,购物
2026-01-20 12:01:00,商户消费-退款,退款店,退款回款,收入,5.00,零钱,已退款¥5.00,STAGE3-007,购物
2026-01-25 12:00:00,商户消费,景区,门票,支出,7.00,银行卡,支付成功,STAGE3-008,旅行/交通
2026-01-28 12:00:00,商户消费,视频会员,月度订阅,支出,3.00,零钱,支付成功,STAGE3-009,娱乐
2026-01-29 12:00:00,商户消费,杂货店,日用品,支出,1.00,零钱,支付成功,STAGE3-010,日用
2026-01-31 23:59:59,商户消费,月底商户,月末消费,支出,4.00,银行卡,支付成功,STAGE3-011,其他
2026-02-01 00:00:00,商户消费,二月商户,二月消费,支出,9.00,零钱,支付成功,STAGE3-012,其他
